Player,Salary,Experience,Japanese,Dominican,HR,League,Position.Name
"Olivo, Miguel",2700000,6,0,1,12,American,Catcher
"Hermida, Jeremy",2250000,3,0,0,17,National,Outfielder
"Victorino, Shane",3125000,4,0,0,14,National,Outfielder
"Doumit, Ryan",2150000,3,0,0,15,National,Catcher
"Butler, Billy",421000,1,0,0,11,American,Designated Hitter
"Napoli, Mike",2000000,2,0,0,20,American,Catcher
"Ojeda, Augie",712500,3,0,0,0,National,Infielder
"Gonzalez, Alex Luis",5375000,10,0,0,1,National,Infielder
"Janish, Paul",400000,0,0,0,1,National,Infielder
"Molina, Jose",2125000,8,0,0,3,American,Catcher
"Matsui, Kazuo",5500000,5,0,0,6,National,Infielder
"Gonzalez, Andy",420000,0,0,0,1,National,Infielder
"Fields, Josh",410000,0,0,0,0,American,Infielder
"Prado, Martin",415000,1,0,0,2,National,Infielder
"Maybin, Cameron",400000,0,0,0,0,National,Outfielder
"Paulino, Ronny",440000,2,0,1,2,National,Catcher
"Bradley, Milton",7000000,8,0,0,22,National,Outfielder
"Ramirez, Aramis",16650000,9,0,1,27,National,Infielder
"Wells, Vernon",4687500,8,0,0,20,American,Outfielder
"Wilson, Jack",7400000,8,0,0,1,National,Infielder
"Fontenot, Mike",430000,1,0,0,9,National,Infielder
"Lee, Derrek",13250000,10,0,0,20,National,Infielder
"Berkman, Lance",14500000,9,0,0,29,National,Infielder
"Griffey Jr., Ken",2000000,20,0,0,0,American,Outfielder
"Sizemore, Grady",4766666,4,0,0,33,American,Outfielder
"Molina, Jose",2125000,8,0,0,3,American,Catcher
"Prado, Martin",415000,1,0,0,2,National,Infielder
"Miller, Corky",450000,3,0,0,1,American,Catcher
"Beltre, Adrian",13400000,10,0,1,25,American,Infielder
"Greene, Khalil",6500000,5,0,0,10,National,Infielder
"Milledge, Lastings",452000,2,0,0,14,National,Outfielder
"Scott, Luke",2400000,3,0,0,23,American,Outfielder
"Cabrera, Melky",1400000,2,0,0,8,American,Outfielder
"Carroll, Brett",400000,1,0,0,0,National,Outfielder
"Hawpe, Brad",5500000,3,0,0,25,National,Outfielder
"Hundley, Nick",404400,0,0,0,5,National,Catcher
"Pena Jr., Tony (Francisco)",425000,2,0,1,1,American,Infielder
"Infante, Omar",1850000,6,0,0,3,National,Infielder
"Hanigan, Ryan",400000,0,0,0,2,National,Catcher
"Ross, David",1400000,5,0,0,0,National,Catcher
"Crowe, Trevor",400000,0,0,0,0,American,Outfielder
"Lowell, Mike",12500000,10,0,0,17,American,Infielder
"Gonzalez, Alberto",400000,0,0,0,0,National,Infielder
"Escobar, Yunel",425000,1,0,0,10,National,Infielder
"Michaels, Jason",750000,6,0,0,0,National,Outfielder
"Thome, Jim",13000000,16,0,0,34,American,Designated Hitter
"Davis, Rajai",410000,1,0,0,3,American,Outfielder
"Hafner, Travis",11500000,6,0,0,5,American,Designated Hitter
"Boone, Aaron",750000,10,0,0,6,National,Infielder
"Anderson, Brian Nikoli",440000,3,0,0,8,American,Outfielder
"Mathis, Jeff",450000,2,0,0,9,American,Catcher
"Gardner, Brett",414000,0,0,0,0,American,Outfielder
"Uribe, Juan",1000000,7,0,1,7,National,Infielder
"Molina, Yadier",3312500,4,0,0,7,National,Catcher
"Coste, Chris",460000,2,0,0,9,National,Catcher
"Fowler, Dexter",401000,0,0,0,0,National,Outfielder
"Lewis, Fred",440000,1,0,0,9,National,Outfielder
"Overbay, Lyle",7950000,6,0,0,15,American,Infielder
